STABBR,YEAR,dispensary,marij_related_words
ME,2005,0,17.13888888888889
ME,2006,0,17.47222222222222
ME,2007,0,17.38888888888889
ME,2008,0.08333333333333333,19.666666666666668
ME,2009,0.16666666666666666,24.555555555555557
ME,2010,0.08333333333333333,25.47222222222222
ME,2011,0.3333333333333333,27.38888888888889
ME,2012,0.75,28.694444444444446
ME,2013,0.75,30.944444444444443
ME,2014,0.75,32.166666666666664
ME,2015,1.25,31.38888888888889
ME,2016,2,36.19444444444444
ME,2017,2.5,40.55555555555556
ME,2018,4.083333333333333,43.80555555555556
ME,2019,8.666666666666666,45.55555555555556
ME,2020,15,46.97222222222222
ME,2021,25.333333333333332,42.83333333333333
MI,2004,0,17.333333333333336
MI,2005,0,17.02777777777778
MI,2006,0,16.77777777777778
MI,2007,0,17.555555555555557
MI,2008,0,20.083333333333336
MI,2009,0,23.86111111111111
MI,2010,0.8333333333333334,27.36111111111111
MI,2011,1.5833333333333333,29.27777777777778
MI,2012,1,28.52777777777778
MI,2013,1.1666666666666667,29.75
MI,2014,1.4166666666666667,31.166666666666668
MI,2015,2.5833333333333335,31.805555555555557
MI,2016,4.416666666666667,32.16666666666667
MI,2017,5.75,34.361111111111114
MI,2018,7.25,42.77777777777778
MI,2019,8.5,45.27777777777778
MI,2020,18.333333333333332,47.72222222222222
MI,2021,25.666666666666668,41.611111111111114
MN,2004,0,15.805555555555555
MN,2005,0,16.47222222222222
MN,2006,0,16.333333333333336
MN,2007,0,16.11111111111111
MN,2008,0,17.63888888888889
MN,2009,0,21.22222222222222
MN,2010,0,21.72222222222222
MN,2011,0,23.38888888888889
MN,2012,0.08333333333333333,24.555555555555557
MN,2013,0,26.555555555555557
MN,2014,0.6666666666666666,29.055555555555557
MN,2015,1,27.166666666666668
MN,2016,0.75,28.52777777777778
MN,2017,1.0833333333333333,31.805555555555557
MN,2018,2,38.05555555555556
MN,2019,2.5,38.25
MN,2020,3.5833333333333335,38.333333333333336
MN,2021,5.166666666666667,35.666666666666664
MO,2004,0,20.22222222222222
MO,2005,0,19.194444444444443
MO,2006,0,17.916666666666668
MO,2007,0,19.416666666666668
MO,2008,0.08333333333333333,21.77777777777778
MO,2009,0,25.833333333333332
MO,2010,0.4166666666666667,28.27777777777778
MO,2011,0.08333333333333333,27.11111111111111
MO,2012,0.16666666666666666,30.666666666666664
MO,2013,0.25,32.69444444444444
MO,2014,1,35.69444444444444
MO,2015,1.0833333333333333,33.27777777777778
MO,2016,1.0833333333333333,34.666666666666664
MO,2017,1.75,37.52777777777778
MO,2018,2.75,44.833333333333336
MO,2019,5.083333333333333,46.19444444444444
MO,2020,17.083333333333332,49.44444444444444
MO,2021,37.5,46.02777777777778
MS,2004,0,21.194444444444443
MS,2005,0,22.916666666666668
MS,2006,0.16666666666666666,22.416666666666668
MS,2007,0,21.52777777777778
MS,2008,0.16666666666666666,24.416666666666668
MS,2009,0.3333333333333333,29.11111111111111
MS,2010,0.3333333333333333,29.944444444444443
MS,2011,0.3333333333333333,29.833333333333336
MS,2012,0.08333333333333333,33.138888888888886
MS,2013,0.4166666666666667,35.888888888888886
MS,2014,0.6666666666666666,38.72222222222222
MS,2015,0.6666666666666666,37.638888888888886
MS,2016,0.9166666666666666,38.638888888888886
MS,2017,1,40.083333333333336
MS,2018,1.75,45
MS,2019,2.4166666666666665,46.111111111111114
MS,2020,4,48.47222222222222
MS,2021,5.416666666666667,43.88888888888889
MT,2004,0.5,16.555555555555557
MT,2005,0,18.833333333333332
MT,2006,0,15.583333333333332
MT,2007,0.08333333333333333,17.25
MT,2008,0,20.694444444444446
MT,2009,0.25,24.11111111111111
MT,2010,1,30.583333333333332
MT,2011,0.5,28.694444444444446
MT,2012,0.4166666666666667,25.27777777777778
MT,2013,0.25,25.61111111111111
MT,2014,0.6666666666666666,28.583333333333332
MT,2015,1.3333333333333333,29.88888888888889
MT,2016,1.5,30.75
MT,2017,2.8333333333333335,34.02777777777778
MT,2018,4.083333333333333,39.888888888888886
MT,2019,5.333333333333333,40.16666666666667
MT,2020,10.083333333333334,42.75
MT,2021,17,40.69444444444444
NC,2004,0.08333333333333333,17.47222222222222
NC,2005,0,18.166666666666668
NC,2006,0,17.194444444444443
NC,2007,0,17.916666666666668
NC,2008,0,19.77777777777778
NC,2009,0,23.47222222222222
NC,2010,0,25.333333333333332
NC,2011,0,25.97222222222222
NC,2012,0,27.083333333333332
NC,2013,0.08333333333333333,29.25
NC,2014,0.6666666666666666,31.13888888888889
NC,2015,0.9166666666666666,30.333333333333336
NC,2016,1,30.5
NC,2017,1,33.166666666666664
NC,2018,1.75,37.69444444444444
NC,2019,2,38
NC,2020,2.4166666666666665,40.333333333333336
NC,2021,3.5833333333333335,36.166666666666664
ND,2004,0,21.38888888888889
ND,2005,0.4166666666666667,18.5
ND,2006,0.25,20.444444444444446
ND,2007,0,17.416666666666664
ND,2008,0,17.75
ND,2009,0.08333333333333333,24.13888888888889
ND,2010,0.16666666666666666,25.88888888888889
ND,2011,0.3333333333333333,25.88888888888889
ND,2012,0.16666666666666666,28.27777777777778
ND,2013,0,28.97222222222222
ND,2014,0.4166666666666667,31.833333333333332
ND,2015,0.5,32.361111111111114
ND,2016,1.4166666666666667,35.166666666666664
ND,2017,2,36.333333333333336
ND,2018,2.3333333333333335,43.91666666666667
ND,2019,4.916666666666667,42.77777777777778
ND,2020,5.333333333333333,43.22222222222222
ND,2021,8.083333333333334,41
NE,2004,0,16.305555555555557
NE,2005,0.08333333333333333,16.444444444444443
NE,2006,0,15.277777777777777
NE,2007,0.08333333333333333,14.972222222222223
NE,2008,0,18.27777777777778
NE,2009,0,21.11111111111111
NE,2010,0,21.666666666666668
NE,2011,0.25,22.13888888888889
NE,2012,0,24.61111111111111
NE,2013,0.25,26.194444444444443
NE,2014,0.9166666666666666,29.055555555555557
NE,2015,1.3333333333333333,29.166666666666668
NE,2016,1.9166666666666667,28.86111111111111
NE,2017,2.5,31.77777777777778
NE,2018,3.4166666666666665,36.861111111111114
NE,2019,4.5,37.083333333333336
NE,2020,5.833333333333333,37.69444444444444
NE,2021,6.75,33.25
NH,2004,0,16.38888888888889
NH,2005,0,17.333333333333336
NH,2006,0,17.694444444444443
NH,2007,0.08333333333333333,16.88888888888889
NH,2008,0.08333333333333333,19.305555555555557
NH,2009,0.08333333333333333,23.38888888888889
NH,2010,0.16666666666666666,24.694444444444443
NH,2011,0.16666666666666666,25
NH,2012,0.08333333333333333,26.194444444444446
NH,2013,0.25,27.555555555555557
NH,2014,0.3333333333333333,28.666666666666668
NH,2015,0.8333333333333334,28.194444444444443
NH,2016,1.25,30.13888888888889
NH,2017,1.8333333333333333,33.888888888888886
NH,2018,4.583333333333333,39.16666666666667
NH,2019,10.833333333333334,40.05555555555556
NH,2020,13.75,39
NH,2021,23.416666666666668,35.333333333333336
NJ,2004,0.08333333333333333,23
NJ,2005,0,24.27777777777778
NJ,2006,0,23.97222222222222
NJ,2007,0,25.305555555555554
NJ,2008,0,28.194444444444446
NJ,2009,0.16666666666666666,33.638888888888886
NJ,2010,0.6666666666666666,34.30555555555556
NJ,2011,0.16666666666666666,34.58333333333333
NJ,2012,0.3333333333333333,35.861111111111114
NJ,2013,0.5,37.80555555555556
NJ,2014,1.0833333333333333,39.916666666666664
NJ,2015,1,38.08333333333333
NJ,2016,1.25,40.27777777777778
NJ,2017,2.5833333333333335,43.583333333333336
NJ,2018,5.5,52.083333333333336
NJ,2019,9.416666666666666,50.416666666666664
NJ,2020,14.25,50.05555555555556
NJ,2021,18.5,50.19444444444444
NM,2004,0.5833333333333334,21.555555555555557
NM,2005,0.16666666666666666,24.5
NM,2006,0.08333333333333333,20.694444444444443
NM,2007,0,24.694444444444443
NM,2008,0.08333333333333333,26.694444444444443
NM,2009,0.3333333333333333,30.055555555555554
NM,2010,0.75,30.833333333333332
NM,2011,0.8333333333333334,33.72222222222222
NM,2012,1.0833333333333333,34.361111111111114
NM,2013,0.9166666666666666,37.19444444444444
NM,2014,2.75,40.83333333333333
NM,2015,4.5,40.80555555555556
NM,2016,11.416666666666666,41.97222222222222
NM,2017,20.75,45.5
NM,2018,27.75,51.69444444444444
NM,2019,33.333333333333336,52.83333333333333
NM,2020,39.166666666666664,51.27777777777778
NM,2021,55.083333333333336,52.083333333333336
NV,2004,0,16.13888888888889
