unitid,instnm,stabbr,st_fips,zip,latitude,longitude,ugds,adm_rate,year
36662301,Northwest Technology Center-Fairview,OK,40,73737,NA,NA,NA,NA,2019
41829601,Indian Capital Technology Center-Sallisaw,OK,40,74955,NA,NA,NA,NA,2019
41829602,Indian Capital Technology Center-Stilwell,OK,40,74960,NA,NA,NA,NA,2019
41829603,Indian Capital Technology Center-Tahlequah,OK,40,74464,NA,NA,NA,NA,2019
206817,Bacone College,OK,40,74403-1597,35.777082,-95.334046,934,0.7285,2017
206835,Oklahoma Wesleyan University,OK,40,74006-6299,36.717453,-95.95671,1006,0.6231,2017
206862,Southern Nazarene University,OK,40,73008,35.513295,-97.629504,1520,NA,2017
206905,Pontotoc Technology Center,OK,40,74820,34.7484,-96.683815,93,NA,2017
206914,Cameron University,OK,40,73505-6377,34.606487,-98.434163,3793,NA,2017
206923,Carl Albert State College,OK,40,74953-5208,35.039173,-94.633986,1550,NA,2017
206932,Central Oklahoma College,OK,40,73134,35.621488,-97.560235,269,NA,2017
206941,University of Central Oklahoma,OK,40,73034,35.6552,-97.471508,14267,0.7552,2017
206996,Connors State College,OK,40,74469,35.492873,-95.319541,1993,NA,2017
207041,East Central University,OK,40,74820-6999,34.771934,-96.663849,2860,0.4802,2017
207050,Eastern Oklahoma State College,OK,40,74578-4999,34.914079,-95.328995,1049,NA,2017
207069,Redlands Community College,OK,40,73036-5304,35.518475,-97.974592,1085,NA,2017
207087,Enid Beauty College,OK,40,73703-4538,36.393267,-97.927122,37,NA,2017
207102,Eves College of Hairstyling,OK,40,73501,34.604991,-98.402794,103,NA,2017
207157,Randall University,OK,40,73160,35.300757,-97.491107,300,0.4057,2017
207209,Langston University,OK,40,73050,35.943982,-97.260317,2012,NA,2017
207236,Murray State College,OK,40,73460,34.222949,-96.677906,1797,NA,2017
207254,Spartan College of Aeronautics and Technology,OK,40,74115,36.176642,-95.878902,1127,NA,2017
207263,Northeastern State University,OK,40,74464-2399,35.919939,-94.967229,6401,0.9569,2017
207272,Beauty Technical College Inc,OK,40,74465,35.915551,-94.962015,30,NA,2017
207281,Northern Oklahoma College,OK,40,74653,36.678649,-97.295887,2752,NA,2017
207290,Northeastern Oklahoma A&M College,OK,40,74354,36.877255,-94.867248,1812,NA,2017
207306,Northwestern Oklahoma State University,OK,40,73717-2799,36.796658,-98.667673,1736,0.8304,2017
207315,Oklahoma State University Center for Health Sciences,OK,40,74107-1898,36.137977,-96.005702,NA,NA,2017
207324,Oklahoma Christian University,OK,40,73013,35.611412,-97.469526,1883,0.6281,2017
207342,University of Oklahoma-Health Sciences Center,OK,40,73117-1221,35.47928,-97.496289,786,NA,2017
207351,Oklahoma Panhandle State University,OK,40,73939-0430,36.594518,-101.638488,1020,NA,2017
207388,Oklahoma State University-Main Campus,OK,40,74078-1015,36.123085,-97.069743,20743,0.7428,2017
207397,Oklahoma State University-Oklahoma City,OK,40,73107-6195,35.474969,-97.581959,5334,NA,2017
207403,Oklahoma Baptist University,OK,40,74804,35.360492,-96.932459,1852,0.6472,2017
207449,Oklahoma City Community College,OK,40,73159-9987,35.387699,-97.570109,11203,NA,2017
207458,Oklahoma City University,OK,40,73106-1402,35.495271,-97.541242,1692,0.717,2017
207500,University of Oklahoma-Norman Campus,OK,40,73019-3072,35.209407,-97.444211,21536,0.74,2017
207564,Oklahoma State University Institute of Technology,OK,40,74447-3901,35.626934,-95.940373,2210,NA,2017
207582,Oral Roberts University,OK,40,74171,36.049129,-95.952547,3068,0.9334,2017
207661,Rogers State University,OK,40,74017-3252,36.321437,-95.635718,3216,NA,2017
207670,Rose State College,OK,40,73110-2799,35.44372,-97.414113,5982,NA,2017
207704,Jenks Beauty College,OK,40,74037,36.023435,-95.975154,28,NA,2017
207722,University of Science and Arts of Oklahoma,OK,40,73018-5322,35.031392,-97.95641,852,0.5214,2017
207740,Seminole State College,OK,40,74868-1901,35.249515,-96.704908,1307,NA,2017
207786,Southern School of Beauty Inc,OK,40,74701-5008,33.991184,-96.377181,24,NA,2017
207847,Southeastern Oklahoma State University,OK,40,74701-3347,34.006808,-96.376864,2937,0.724,2017
207856,Southwestern Christian University,OK,40,73008,35.513314,-97.63934,610,0.7704,2017
207865,Southwestern Oklahoma State University,OK,40,73096-3001,35.535281,-98.707768,4358,0.9197,2017
207935,Tulsa Community College,OK,40,74135-6198,36.106788,-95.90825,14413,NA,2017
207962,Tulsa Welding School-Tulsa,OK,40,74104,36.148202,-95.954378,926,NA,2017
