quality_type,price,url,Year,Jurisdictions,measure_unit
High Quality,445.71,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/West%20Virginia.html,2010,West Virginia,Average ($/Oz.)*
Medium Quality,303.33,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/West%20Virginia.html,2010,West Virginia,Average ($/Oz.)*
High Quality,418.06,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Wisconsin.html,2010,Wisconsin,Average ($/Oz.)*
Medium Quality,318.57,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Wisconsin.html,2010,Wisconsin,Average ($/Oz.)*
High Quality,350,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Wyoming.html,2010,Wyoming,Average ($/Oz.)*
Medium Quality,460,https://web.archive.org/web/20100918220745/http:/www.priceofweed.com/prices/United%20States/Wyoming.html,2010,Wyoming,Average ($/Oz.)*
High Quality,447.99,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Alabama.html,2011,Alabama,Average ($/Oz.)*
Medium Quality,152.17,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Alabama.html,2011,Alabama,Average ($/Oz.)*
High Quality,328.08,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Alaska.html,2011,Alaska,Average ($/Oz.)*
Medium Quality,341.23,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Alaska.html,2011,Alaska,Average ($/Oz.)*
High Quality,365.59,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Arizona.html,2011,Arizona,Average ($/Oz.)*
Medium Quality,201.71,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Arizona.html,2011,Arizona,Average ($/Oz.)*
High Quality,422.97,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Arkansas.html,2011,Arkansas,Average ($/Oz.)*
Medium Quality,120.32,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Arkansas.html,2011,Arkansas,Average ($/Oz.)*
High Quality,302.71,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/California.html,2011,California,Average ($/Oz.)*
Medium Quality,225.09,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/California.html,2011,California,Average ($/Oz.)*
High Quality,285.56,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Colorado.html,2011,Colorado,Average ($/Oz.)*
Medium Quality,263.94,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Colorado.html,2011,Colorado,Average ($/Oz.)*
High Quality,434,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Connecticut.html,2011,Connecticut,Average ($/Oz.)*
Medium Quality,299.51,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Connecticut.html,2011,Connecticut,Average ($/Oz.)*
High Quality,431.28,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Delaware.html,2011,Delaware,Average ($/Oz.)*
Medium Quality,145.93,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Delaware.html,2011,Delaware,Average ($/Oz.)*
High Quality,468.63,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/District%20of%20Columbia.html,2011,District of Columbia,Average ($/Oz.)*
Medium Quality,492.63,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/District%20of%20Columbia.html,2011,District of Columbia,Average ($/Oz.)*
High Quality,343.96,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Florida.html,2011,Florida,Average ($/Oz.)*
Medium Quality,191.65,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Florida.html,2011,Florida,Average ($/Oz.)*
High Quality,428.74,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Georgia.html,2011,Georgia,Average ($/Oz.)*
Medium Quality,157.79,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Georgia.html,2011,Georgia,Average ($/Oz.)*
High Quality,389.53,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Hawaii.html,2011,Hawaii,Average ($/Oz.)*
Medium Quality,307.12,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Hawaii.html,2011,Hawaii,Average ($/Oz.)*
High Quality,323.06,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Idaho.html,2011,Idaho,Average ($/Oz.)*
Medium Quality,308.98,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Idaho.html,2011,Idaho,Average ($/Oz.)*
High Quality,430.63,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Illinois.html,2011,Illinois,Average ($/Oz.)*
Medium Quality,306.15,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Illinois.html,2011,Illinois,Average ($/Oz.)*
High Quality,402.51,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Indiana.html,2011,Indiana,Average ($/Oz.)*
Medium Quality,140.73,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Indiana.html,2011,Indiana,Average ($/Oz.)*
High Quality,427.25,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Iowa.html,2011,Iowa,Average ($/Oz.)*
Medium Quality,248.88,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Iowa.html,2011,Iowa,Average ($/Oz.)*
High Quality,413.83,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Kansas.html,2011,Kansas,Average ($/Oz.)*
Medium Quality,138.31,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Kansas.html,2011,Kansas,Average ($/Oz.)*
High Quality,380.35,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Kentucky.html,2011,Kentucky,Average ($/Oz.)*
Medium Quality,151.86,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Kentucky.html,2011,Kentucky,Average ($/Oz.)*
High Quality,446.37,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Louisiana.html,2011,Louisiana,Average ($/Oz.)*
Medium Quality,265.91,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Louisiana.html,2011,Louisiana,Average ($/Oz.)*
High Quality,356.25,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Maine.html,2011,Maine,Average ($/Oz.)*
Medium Quality,250.24,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Maine.html,2011,Maine,Average ($/Oz.)*
High Quality,441.98,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Maryland.html,2011,Maryland,Average ($/Oz.)*
Medium Quality,157.24,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Maryland.html,2011,Maryland,Average ($/Oz.)*
High Quality,403.93,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Massachusetts.html,2011,Massachusetts,Average ($/Oz.)*
Medium Quality,313.82,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Massachusetts.html,2011,Massachusetts,Average ($/Oz.)*
High Quality,363.23,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Michigan.html,2011,Michigan,Average ($/Oz.)*
Medium Quality,174.99,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Michigan.html,2011,Michigan,Average ($/Oz.)*
High Quality,416.13,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Minnesota.html,2011,Minnesota,Average ($/Oz.)*
Medium Quality,376.7,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Minnesota.html,2011,Minnesota,Average ($/Oz.)*
High Quality,458.02,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Mississippi.html,2011,Mississippi,Average ($/Oz.)*
Medium Quality,130.85,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Mississippi.html,2011,Mississippi,Average ($/Oz.)*
High Quality,432.77,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Missouri.html,2011,Missouri,Average ($/Oz.)*
Medium Quality,188.41,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Missouri.html,2011,Missouri,Average ($/Oz.)*
High Quality,294.86,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Montana.html,2011,Montana,Average ($/Oz.)*
Medium Quality,298.44,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Montana.html,2011,Montana,Average ($/Oz.)*
High Quality,398.62,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Nebraska.html,2011,Nebraska,Average ($/Oz.)*
Medium Quality,224.41,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Nebraska.html,2011,Nebraska,Average ($/Oz.)*
High Quality,320.18,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Nevada.html,2011,Nevada,Average ($/Oz.)*
Medium Quality,212.73,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/Nevada.html,2011,Nevada,Average ($/Oz.)*
High Quality,393.83,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20Hampshire.html,2011,New Hampshire,Average ($/Oz.)*
Medium Quality,268.09,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20Hampshire.html,2011,New Hampshire,Average ($/Oz.)*
High Quality,433.52,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20Jersey.html,2011,New Jersey,Average ($/Oz.)*
Medium Quality,340.38,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20Jersey.html,2011,New Jersey,Average ($/Oz.)*
High Quality,363.55,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20Mexico.html,2011,New Mexico,Average ($/Oz.)*
Medium Quality,196.35,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20Mexico.html,2011,New Mexico,Average ($/Oz.)*
High Quality,414.68,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20York.html,2011,New York,Average ($/Oz.)*
Medium Quality,298.99,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/New%20York.html,2011,New York,Average ($/Oz.)*
High Quality,434.12,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/North%20Carolina.html,2011,North Carolina,Average ($/Oz.)*
Medium Quality,189.53,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/North%20Carolina.html,2011,North Carolina,Average ($/Oz.)*
High Quality,436.5,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/North%20Dakota.html,2011,North Dakota,Average ($/Oz.)*
Medium Quality,440.71,https://web.archive.org/web/20111219092407/http:/www.priceofweed.com/prices/United%20States/North%20Dakota.html,2011,North Dakota,Average ($/Oz.)*
