Jurisdictions,Year,url
Connecticut,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Connecticut.html
Delaware,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Delaware.html
District of Columbia,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/District-of-Columbia.html
Florida,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Florida.html
Georgia,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Georgia.html
Hawaii,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Hawaii.html
Idaho,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Idaho.html
Illinois,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Illinois.html
Indiana,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Indiana.html
Iowa,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Iowa.html
Kansas,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Kansas.html
Kentucky,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Kentucky.html
Louisiana,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Louisiana.html
Maine,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Maine.html
Maryland,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Maryland.html
Massachusetts,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Massachusetts.html
Michigan,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Michigan.html
Minnesota,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Minnesota.html
Mississippi,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Mississippi.html
Missouri,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Missouri.html
Montana,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Montana.html
Nebraska,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Nebraska.html
Nevada,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/Nevada.html
New Hampshire,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/New-Hampshire.html
New Jersey,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/New-Jersey.html
New Mexico,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/New-Mexico.html
New York,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/New-York.html
North Carolina,2012,https://web.archive.org/web/20121221080245/http:/www.priceofweed.com/prices/United-States/North-Carolina.html
